"time","global","region"
1352,61323,20292
1353,61322,20293
1354,61323,20292
1355,61323,20292
1356,61323,20292
1357,61323,20292
1358,61323,20292
1359,61322,20292
1360,61323,20291
1361,61323,20292
1362,61323,20292
1363,61323,20292
1364,61322,20292
1365,61321,20292
1366,61322,20293
1367,61321,20294
1368,61321,20294
1369,61321,20294
1370,61320,20295
1371,61321,20294
1372,61320,20294
1373,61321,20294
1374,61321,20294
1375,61320,20294
1376,61322,20293
1377,61321,20293
1378,61321,20294
1379,61319,20295
1380,61320,20295
1381,61319,20295
1382,61319,20296
1383,61320,20294
1384,61320,20295
1385,61319,20296
1386,61317,20296
1387,61319,20296
1388,61319,20296
1389,61319,20296
1390,61319,20296
1391,61319,20296
1392,61319,20296
1393,61319,20296
1394,61319,20296
1395,61319,20296
1396,61319,20296
1397,61318,20296
1398,61319,20295
1399,61318,20297
1400,61318,20297
1401,61318,20297
1402,61318,20297
1403,61318,20297
1404,61318,20297
1405,61319,20296
1406,61319,20296
1407,61319,20296
1408,61319,20296
1409,61319,20295
1410,61318,20296
1411,61319,20296
1412,61319,20296
1413,61319,20296
1414,61319,20296
1415,61319,20296
1416,61319,20296
1417,61320,20295
1418,61320,20295
1419,61318,20295
1420,61317,20296
1421,61320,20295
1422,61319,20294
1423,61319,20296
1424,61320,20295
1425,61321,20294
1426,61322,20293
1427,61320,20294
1428,61320,20294
1429,61320,20294
1430,61320,20294
1431,61322,20292
1432,61322,20291
1433,61323,20292
1434,61323,20291
1435,61323,20292
1436,61323,20292
1437,61322,20292
1438,61322,20293
1439,61322,20293
1440,61322,20293
1441,61321,20294
1442,61320,20295
1443,61319,20294
1444,61319,20295
1445,61319,20296
1446,61318,20296
1447,61318,20296
1448,61318,20297
1449,61318,20297
1450,61317,20297
1451,61316,20297
1452,61318,20297
1453,61317,20298
1454,61317,20297
1455,61318,20297
1456,61317,20297
1457,61319,20294
1458,61318,20295
1459,61319,20296
1460,61320,20295
1461,61320,20295
1462,61320,20295
1463,61321,20294
1464,61321,20294
1465,61320,20294
1466,61321,20294
1467,61321,20293
1468,61321,20293
1469,61321,20294
1470,61320,20294
1471,61321,20294
1472,61321,20294
1473,61321,20294
1474,61323,20292
1475,61323,20292
1476,61323,20292
1477,61325,20290
1478,61324,20290
1479,61323,20290
1480,61324,20290
1481,61325,20290
1482,61325,20290
1483,61323,20290
1484,61324,20291
1485,61323,20291
1486,61324,20291
1487,61324,20291
1488,61324,20291
1489,61324,20291
1490,61323,20291
1491,61325,20290
1492,61324,20290
1493,61325,20290
1494,61325,20290
1495,61325,20290
1496,61324,20289
1497,61325,20289
1498,61323,20289
1499,61326,20289
1500,61326,20289
1501,61326,20289
1502,61326,20289
1503,61326,20289
1504,61326,20289
1505,61326,20289
1506,61326,20289
1507,61327,20288
1508,61327,20288
1509,61327,20288
1510,61326,20288
1511,61324,20290
1512,61325,20290
1513,61324,20289
1514,61325,20290
1515,61325,20290
1516,61325,20290
1517,61325,20290
1518,61324,20291
1519,61324,20291
1520,61324,20291
1521,61323,20291
1522,61323,20292
1523,61323,20292
1524,61322,20292
1525,61322,20292
1526,61322,20292
1527,61323,20292
1528,61323,20292
1529,61323,20292
1530,61323,20292
1531,61323,20292
1532,61323,20291
1533,61322,20292
1534,61323,20292
1535,61322,20293
1536,61322,20293
1537,61322,20293
1538,61322,20293
1539,61323,20292
1540,61322,20292
1541,61323,20292
1542,61323,20292
1543,61322,20292
1544,61322,20292
1545,61321,20291
1546,61323,20292
1547,61323,20292
1548,61323,20292
1549,61323,20292
1550,61323,20292
1551,61323,20292
1552,61323,20292
1553,61323,20292
1554,61321,20292
1555,61321,20293
1556,61321,20293
1557,61321,20292
1558,61322,20293
1559,61322,20293
1560,61322,20293
1561,61322,20293
1562,61322,20293
1563,61322,20293
1564,61322,20293
1565,61322,20293
1566,61322,20293
1567,61321,20293
1568,61322,20293
1569,61323,20292
1570,61323,20292
1571,61323,20292
1572,61323,20292
1573,61323,20291
1574,61323,20292
1575,61322,20293
1576,61320,20293
1577,61322,20293
1578,61322,20293
